edgenum,pointnum1,pointnum2,x_difference,y_difference
1,517,4301,0.9998537201281152,9.404725609756099
2,4301,4301B,5.564640305493967,5.0853093947606
3,4301,4301A,4.8449125400344855,5.0853093947606
4,4301,516,16.491056397306394,0.5984617516629669
5,516,448,0.11071589882566002,7.395412457912471
6,516,438,0.11071589882566002,7.086069023569053
7,467,4301,18.912382756132757,0.4899220867208669
8,467,4101,0.015707671957670755,0.44328703703700967
9,4101,410,4.597081074977417,1.234292328042386
10,4101,567,13.99768521851852,5.487268185185201
11,567,4305,8.983796262962962,6.6562503333333325
12,410,4103,8.002455962059617,2.7574404761904816
13,410,412,0.0,16.065476190476147
14,412,4105,8.002455962059617,5.299768518518533
15,412,4126,10.758456736353082,2.90625
16,412,411,0.0,4.673611111111143
17,411,4107,9.652918925022583,4.8692129629629335
18,411,413,0.0,1.5
19,413,4124,8.240599593495936,4.19328703703701
20,413,425,0.0,19.01091269841271
21,425,4109,9.752455962059617,3.669477513227548
22,425,4122,9.106340334236677,4.005285303776702
23,425,416,0.0,9.98809523809524
24,416,4111,9.060326332429987,0.9885912698413222
25,416,418,0.0,2.3597883597883538
26,418,4120,8.671155149051494,3.2395833333333712
27,418,415,0.0,5.324074074074076
28,415,4118,8.911895889792234,3.6863425925925526
29,415,417,0.0,2.259259259259238
30,417,4113,9.259400406504064,1.3172949735449606
31,417,421,0.0,8.634259259259238
32,421,4115,9.643659665763323,4.348379629629619
33,421,420,0.0,3.506944444444457
34,420,4116,10.413218641114987,0.9270833333333144
35,420,500,0.097198025551684,10.659722222222229
36,500,512,15.986135307781648,0.18055555555554292
37,500,259,1.4990079365079367,0.13465447154470667
38,259,4802,0.36805555555555713,10.290904471544707
39,4802,4802A,9.640046296296298,0.4613095238095184
40,4802,4802B,0.38541666666666785,22.4375
41,4802,4802C,10.91550925925926,0.4444444444444571
42,500,499,17.167658730158735,0.13465447154470667
43,499,4807,0.5868055555555571,11.515643147502885
44,499,424,2.173611111111107,0.0
45,424,4806,0.9965277777777786,14.645071138211392
46,424,422,6.574074074074076,0.0
47,422,4809,3.769675925925931,12.087071718931497
48,422,423,3.2523148148148167,0.0
